"id","source","iso_code3","country","global_category","overview_category","sector","subsector","indicator_id","indicator_name","value"
23207485,"CAIT","CMR","Cameroon","Adaptation","",NA,NA,"a_water","Water","Water Management"
23207677,"CAIT","CMR","Cameroon","Adaptation","",NA,NA,"a_water","Water","Water Management"
23207866,"CAIT","CMR","Cameroon","Adaptation","",NA,NA,"a_urban","Urban","Sustainable Urban Planning"
23208058,"CAIT","CMR","Cameroon","Adaptation","",NA,NA,"a_urban","Urban","Sustainable Urban Planning"
23208247,"CAIT","CMR","Cameroon","Adaptation","",NA,NA,"a_transport","Transport","No specified measure"
23208439,"CAIT","CMR","Cameroon","Adaptation","",NA,NA,"a_transport","Transport","No specified measure"
23208628,"CAIT","CMR","Cameroon","Adaptation","",NA,NA,"a_tourism","Tourism","Tourism: General"
23208820,"CAIT","CMR","Cameroon","Adaptation","",NA,NA,"a_tourism","Tourism","Tourism: General"
23209009,"CAIT","CMR","Cameroon","Adaptation","",NA,NA,"a_social_development","Social Development","Gender"
23209201,"CAIT","CMR","Cameroon","Adaptation","",NA,NA,"a_social_development","Social Development","Gender"
23209390,"CAIT","CMR","Cameroon","Adaptation","",NA,NA,"a_lulucf","LULUCF/Forestry","Sustainable Forest Management, Sustainable Forest Management"
23209582,"CAIT","CMR","Cameroon","Adaptation","",NA,NA,"a_lulucf","LULUCF/Forestry","Sustainable Forest Management, Sustainable Forest Management"
23209771,"CAIT","CMR","Cameroon","Adaptation","",NA,NA,"a_health","Health","Health Services and Assessment"
23209963,"CAIT","CMR","Cameroon","Adaptation","",NA,NA,"a_health","Health","Health Services and Assessment"
23210152,"CAIT","CMR","Cameroon","Adaptation","",NA,NA,"a_environment","Environment","Ecosystem and Biodiversity"
23210344,"CAIT","CMR","Cameroon","Adaptation","",NA,NA,"a_environment","Environment","Ecosystem and Biodiversity"
23210533,"CAIT","CMR","Cameroon","Adaptation","",NA,NA,"a_energy","Energy","Power System Planning"
23210725,"CAIT","CMR","Cameroon","Adaptation","",NA,NA,"a_energy","Energy","Power System Planning"
23210914,"CAIT","CMR","Cameroon","Adaptation","",NA,NA,"a_education","Education","Education: General"
23211106,"CAIT","CMR","Cameroon","Adaptation","",NA,NA,"a_education","Education","Education: General"
23211295,"CAIT","CMR","Cameroon","Adaptation","",NA,NA,"a_drm","Disaster Risk Management (DRM)","Monitoring and Evaluation System"
23211487,"CAIT","CMR","Cameroon","Adaptation","",NA,NA,"a_drm","Disaster Risk Management (DRM)","Monitoring and Evaluation System"
23211676,"CAIT","CMR","Cameroon","Adaptation","",NA,NA,"a_cross_cutting_area","Cross-Cutting Area","No specified measure"
23211868,"CAIT","CMR","Cameroon","Adaptation","",NA,NA,"a_cross_cutting_area","Cross-Cutting Area","No specified measure"
23212057,"CAIT","CMR","Cameroon","Adaptation","",NA,NA,"a_coastal_zone","Coastal Zone","Coastal Management"
23212248,"CAIT","CMR","Cameroon","Adaptation","",NA,NA,"a_coastal_zone","Coastal Zone","Coastal Management"
